       l       b       nec     Fc     dc     rc   edge type name
0   -51.270  -0.040   0.710 100.00  7.210  0.010    0    P 1338-62         
0   -48.700  75.410   0.200   0.00  0.290  0.010    0    P 1257+12         
0   -47.350  -5.400   1.870   0.00  0.900  0.010    0    P 1430-6623       
0   -39.230  -0.110   5.000   0.00  3.000  0.010    0    P 1508-57         
0   -39.070  20.450   1.470   0.00  0.300  0.010    0    P 1419-3920       
0   -38.370  -1.220   0.410 100.00  1.600  0.010    0    P 1518-58         
0   -38.130 -35.000   0.410   0.00  0.340  0.010    0    P 2053-7200       
0   -32.730   1.320   0.600   0.00  1.500  0.010    0    P 1544-5308       
0   -30.270  -0.480   0.900   0.00  1.200  0.010    0    P 1605-5257       
0   -29.310   1.630   0.310 100.00  3.620  0.010    0    P 1557-50         
0   -29.280  22.560   0.300   0.00  0.300  0.010    0    P 1455-3330       
0   -24.990  -5.170   0.070 100.00  1.480  0.010    0    P 1651-5222       
0   -24.750   7.980   0.090 100.00  1.490  0.010    0    P 1556-4258       
0   -23.520   0.620   1.910 100.00  3.430  0.010    0    P 1627-47         
0   -21.270   1.980   0.610 100.00  3.380  0.010    0    P 1630-44         
0   -20.807  -0.195   1.500   4.00  3.400  0.020    0    P 1641-45         
0   -18.890   0.970   0.610 100.00  3.340  0.010    0    P 1643-43         
0   -18.640  -2.180   0.360 100.00  3.330  0.010    0    P 1657-45         
0   -15.000 -10.180   0.010  70.00  0.270  0.010    0    P 1751-4657       
0   -14.280  -0.200   0.860 100.00  1.450  0.010    0    P 1703-40         
0   -14.120   3.270   0.360 100.00  1.460  0.010    0    P 1650-38         
0   -12.350  -1.530   0.310 100.00  1.460  0.010    0    P 1715-40         
0   -12.020  -4.460   0.130 100.00  1.460  0.010    0    P 1732-4128       
0    -9.310   4.070   0.150 100.00  1.470  0.010    0    P 1705-3422       
0    -9.070  -0.000   4.060   0.00  1.500  0.010    0    P 1718-36         
0    -8.800   0.646  10.000 1280.00  1.670  0.008    0    G NGC6334N        
0    -7.880   2.020   0.360 100.00  5.470  0.010    0    P 1714-34         
0    -6.700  -1.540  10.000 18000.00  8.400  0.050    0    G OH353.298       
0    -5.870   0.090   1.210 100.00  1.480  0.010    0    P 1727-33         
0    -5.440   2.520   0.110 100.00  1.440  0.010    0    P 1722-3207       
0    -4.720  -4.110   0.170 100.00  1.490  0.010    0    P 1750-3506       
0    -4.230  -1.748  10.000 23100.00  8.400  0.050    0    G OH355           
0    -2.900  -0.220   0.960 100.00  3.310  0.010    0    P 1736-31         
0    -2.150   9.740  10.000 4500.00  8.400  0.050    0    G OH357.849       
0    -2.140  -0.997   5.000  20.00  8.500  0.010    0    X B1741-312       
0    -1.450  -0.960   0.050 100.00  1.430  0.010    0    P 1745-3040       
0    -0.860   1.140  10.000 80000.00  8.400  0.050    0    G OH359.140       
0    -0.540  -1.240   4.360   0.00  2.000  0.010    0    P 1746-30         
0    -0.440   1.290  10.000 500.00  8.400  0.050    0    G OH359.540       
0     0.120   5.111  10.000 320.00  8.400  0.050    0    G OH000.125+5.111 
0     0.570  36.610   0.520   0.00  0.340  0.010    0    P 1540-06         
0     0.890   1.342  10.000 720.00  8.400  0.050    1    G OH000.892+1.342 
0     2.660 -49.460   0.010  25.00  0.140  0.010    0    P 2144-3939       
0     3.840  -3.260   3.960   0.00  1.500  0.010    0    P 1807-2715       
0     5.770  13.660   0.300   0.00  0.290  0.010    0    P 1706-16         
0     6.810  -0.080   1.010 100.00  6.630  0.010    0    P 1758-23         
0    10.720  35.470   0.200   0.00  0.270  0.010    0    P 1604-00         
0    10.930 -45.440   0.040   0.00  0.140  0.010    0    P 2124-3358       
0    14.110  26.060   0.670   0.00  0.340  0.010    0    P 1642-03         
0    14.600  -3.420   0.210 100.00  1.740  0.010    0    P 1829-1751       
0    15.250 -23.390   0.380   0.00  0.340  0.010    0    P 1949-2524       
0    16.410   0.610   0.660 100.00  4.830  0.010    0    P 1815-14         
0    17.250  -0.176  17.000   0.00  3.500  0.010    0    P 1820-14         
0    17.810  45.770   0.200   0.70  0.460  0.010    0    P 1541+09         
0    20.060   5.590   0.070  95.00  1.690  0.010    0    P 1807-0847       
0    20.070  -0.090  10.000 725.00  4.000  0.010    0    G OH20.1-0.1      
0    20.630  38.160   0.400   0.00  0.860  0.010    0    P 1612+07         
0    21.290   0.800   0.860 100.00  1.920  0.010    0    P 1824-10         
0    21.450   1.320   0.012  85.00  0.340  0.010    1    P 1822-09         
0    22.260  -1.420   2.660   0.00  2.000  0.010    0    P 1836-1008       
0    23.390   0.063   8.000   0.00  4.400  0.010    0    P 1830-08         
0    25.090   0.550   2.060 100.00  2.060  0.010    0    P 1832-06         
0    25.460   4.733   0.500   2.00  1.500  0.020    0    P 1818-04         
0    27.170   1.130   0.310 100.00  2.170  0.010    0    P 1834-04         
0    28.050   5.310   0.090 100.00  2.170  0.010    0    P 1823-0154       
0    28.350   0.170   0.890 100.00  2.230  0.010    0    P 1839-04         
0    28.490  -5.680   0.110 100.00  2.250  0.010    0    P 1903-0632       
0    30.510 -33.080   0.120   0.00  0.320  0.010    0    P 2045-16         
0    31.310  -7.120   0.050 100.00  1.780  0.010    0    P 1911-04         
0    31.340   0.039   0.120 200.00  2.400  0.020    0    P 1845-01         
0    33.300   0.100  10.000 200.00  7.400  0.020    0    P 1849+00         
0    33.690  -3.550   0.060 100.00  2.620  0.010    0    P 1905-0056       
0    34.100 -20.300   0.390   0.00  0.460  0.010    0    P 2003-08         
0    34.990   8.860   1.270   0.00  0.440  0.010    0    P 1821+05         
0    35.200  -1.730   2.000  10.00  2.800  0.010    0    G OH35.2-1.7      
0    35.727  -1.955   2.000   0.40  2.800  0.040    0    P 1900+01         
0    37.080  21.680   1.090   0.00  0.490  0.010    0    P 1737+13         
0    40.080   6.280   0.490   0.00  0.510  0.010    0    P 1839+09         
0    40.569   1.056   1.000   1.00  3.500  0.020    0    P 1859+07         
0    40.620  -0.140  10.000 12500.00  2.200  0.003    0    G OH40.6-0.2      
0    41.910   0.087   6.000  20.00  8.000  0.010    0    X 1905+079        
0    42.290   3.060   0.010  25.00  0.550  0.010    0    P 1855+09         
0    43.160   0.010   3.500  20.00  8.500  0.020    0    G W49N            
0    43.480  54.490   0.380   0.00  0.340  0.010    0    P 1530+27         
0    43.780  -0.135   6.000  20.00  2.600  0.020    0    G OH43.80-0.13    
0    44.830   0.990   1.950   0.00  0.600  0.010    0    P 1907+10         
0    47.580   0.450   5.010   0.00  4.000  0.010    0    P 1914+13         
0    49.400 -70.190   0.010  35.00  0.200  0.010    0    P 2330-2005       
0    51.880  -2.460   0.110 100.00  3.770  0.010    0    P 1933+15         
0    53.720  -1.310   0.160 100.00  4.430  0.010    0    P 1933+17         
0    55.280   2.930   0.060 100.00  1.300  0.010    0    P 1920+21         
0    55.330  -3.500   0.010  25.00  0.700  0.010    0    P 1944+17         
0    55.570   0.640   0.110 100.00  1.390  0.010    0    P 1929+20         
0    55.610  -3.000   0.160 100.00  5.120  0.010    0    P 1943+18         
0    55.780   3.500   0.010  25.00  0.560  0.010    0    P 1919+21         
0    61.110 -16.840   0.010 100.00  1.210  0.010    0    P 2044+15         
0    62.320   0.590   0.230 100.00  2.460  0.010    0    P 1946+2611       
0    65.010 -27.310   0.789   0.00  2.000  0.010    0    P M15             
0    65.920   0.770   0.010  10.00  0.360  0.010    0    P 1952+29         
0    68.100  -3.980   0.010  30.00  0.620  0.010    0    P 2016+28         
0    68.770   2.820   0.030  30.00  1.580  0.010    0    P 1951+32         
0    69.010   0.020   0.060 100.00  2.410  0.010    0    P 2002+31         
0    70.700   5.050   0.130 100.00  2.380  0.010    0    P 1946+35         
0    70.950  14.200   0.010  25.00  1.110  0.010    0    P 1905+39         
0    71.160  -0.088   1.500  20.00  2.350  0.010    0    X 2008+33D        
0    71.400  -3.100   0.350  20.00  2.350  0.010    0    X 2021+317        
0    73.100  -2.400   0.800  20.00  2.350  0.010    0    X 2023+336        
0    74.040   0.356   0.900  20.00  2.350  0.010    0    X 2014+358        
0    74.140  -1.010   2.200  20.00  2.350  0.010    0    X 2020+351        
0    74.180   2.610   1.900  20.00  2.350  0.010    0    X 2005+372        
0    74.600  -8.040   0.900  20.00  2.350  0.010    0    X 2048+313        
0    74.900   1.200   0.600  20.00  2.200  0.010    0    X 2013+370        
0    75.780   2.190   0.950  20.00  2.350  0.010    0    X 2012+383        
0    76.800   4.300   1.000  20.00  2.350  0.010    0    X 2005+403        
0    78.900  -5.100   0.100  20.00  2.350  0.020    0    X 2050+364        
0    79.130  -5.590   0.070 100.00  2.110  0.010    0    P 2053+36         
0    79.850   0.699   3.500  20.00  2.350  0.020    0    G CygX-3          
0    81.800   0.637   3.500  20.00  2.400  0.020    0    G W75S            
0    83.870 -64.080   0.120   0.00  0.460  0.010    0    P 2347-0612       
0    85.430   2.110  10.000  20.00  2.000  0.010    0    P 2044+46         
0    86.080  23.820   0.010  40.00  0.840  0.010    0    P 1839+56         
0    86.140 -21.730   0.500   1.00  2.000  0.020    0    P B2210+29        
0    89.000  -1.270   0.850   0.00  1.590  0.010    0    P 2111+46         
0    90.370   7.308   5.000  20.00  2.000  0.010    0    P 2036+53         
0    90.490 -11.340   0.010 100.00  1.560  0.010    0    P 2154+40         
0    91.330  52.290   0.010 100.00  0.490  0.010    0    P 1508+55         
0    91.360 -42.360   0.420   0.00  0.580  0.010    0    P 2317+1439       
0    95.830 -36.070   0.280   0.00  0.570  0.010    0    P 2315+21         
0    97.720 -26.660   0.010 100.00  1.420  0.010    0    P 2303+30         
0    98.380  -7.600   0.230   0.00  1.170  0.010    0    P 2217+47         
0   108.640   6.840   0.010  60.00  0.940  0.010    0    P 2224+65         
0   109.870   2.102   0.600  20.00  0.600  0.020    0    G CepA            
0   110.420 -69.810   0.140   0.00  0.240  0.010    0    P 0031-07         
0   111.540   0.774   0.500  20.00  3.400  0.020    0    G NGC7538         
0   133.950   1.058  10.000 320.00  2.200  0.020    0    G W3OH            
0   135.700   2.400   0.900  20.00  2.200  0.010    0    X 0241+622        
0   145.000  -1.220   0.190   0.00  0.540  0.010    0    P 0329+54         
0   148.190   0.810   0.910   0.00  0.630  0.010    0    P 0355+54         
